Invoice_ID,Date,Time,Branch,Product,Category,Quantity,Unit Price,Cost Price,Revenue,Profit,Payment Mode,Customer Type,Employee
INV00052,2025-09-01,14:19,Nashik,Cold Coffee,Coffee,6,60,35,360,150,Card,Regular,Emp_8
INV00053,2025-05-26,09:10,Nashik,Cream Roll,Snacks,6,25,12,150,78,Cash,New,Emp_18
INV00054,2025-04-05,18:26,Nashik,Jaggery Tea,Tea,4,25,13,100,48,Cash,Regular,Emp_8
INV00055,2025-09-30,12:02,Pune,Cold Coffee,Coffee,1,60,35,60,25,UPI,Regular,Emp_13
INV00056,2025-01-29,07:46,Mumbai,Black Tea,Tea,1,18,9,18,9,UPI,Regular,Emp_18
INV00057,2025-05-06,08:48,Nashik,Masala Milk,Milk,2,35,20,70,30,Cash,Regular,Emp_13
INV00058,2025-03-05,17:06,Indore,Cookies,Snacks,4,20,10,80,40,UPI,Regular,Emp_16
INV00059,2025-01-23,16:01,Indore,Cake,Snacks,4,35,20,140,60,UPI,Regular,Emp_5
INV00060,2025-02-20,21:00,Indore,Cake,Snacks,3,35,20,105,45,Card,New,Emp_12
INV00061,2025-11-27,13:52,Nashik,Hot Coffee,Coffee,1,40,22,40,18,Card,Regular,Emp_3
INV00062,2025-08-15,11:55,Mumbai,Cookies,Snacks,3,20,10,60,30,UPI,Regular,Emp_14
INV00063,2025-05-23,12:56,Nagpur,Rose Milk,Milk,4,45,28,180,68,UPI,New,Emp_18
INV00064,2025-08-10,13:55,Pune,Black Tea,Tea,3,18,9,54,27,UPI,New,Emp_5
INV00065,2025-09-29,15:04,Mumbai,Jaggery Tea,Tea,4,25,13,100,48,Card,New,Emp_13
INV00066,2025-05-07,13:18,Pune,Bakarwadi,Snacks,2,30,16,60,28,UPI,Regular,Emp_3
INV00067,2025-05-21,14:16,Mumbai,Cake,Snacks,4,35,20,140,60,UPI,Regular,Emp_19
INV00068,2025-06-28,13:45,Nashik,Bakarwadi,Snacks,6,30,16,180,84,UPI,New,Emp_17
INV00069,2025-11-12,08:30,Indore,Regular Tea,Tea,6,15,8,90,42,UPI,Regular,Emp_18
INV00070,2025-01-21,15:49,Nagpur,Rose Milk,Milk,6,45,28,270,102,UPI,Regular,Emp_19
INV00071,2025-05-20,10:51,Mumbai,Bakarwadi,Snacks,2,30,16,60,28,Cash,Regular,Emp_7
INV00072,2025-09-08,16:30,Indore,Cream Roll,Snacks,3,25,12,75,39,UPI,New,Emp_11
INV00073,2025-06-15,11:49,Nagpur,Ginger Tea,Tea,4,20,10,80,40,UPI,Regular,Emp_5
INV00074,2025-12-27,12:14,Pune,Regular Tea,Tea,1,15,8,15,7,UPI,Regular,Emp_18
INV00075,2025-11-30,17:54,Nagpur,Ginger Tea,Tea,4,20,10,80,40,UPI,New,Emp_18
INV00076,2025-05-28,19:05,Nashik,Black Tea,Tea,6,18,9,108,54,UPI,Regular,Emp_15
INV00077,2025-06-26,19:59,Nagpur,Hot Coffee,Coffee,5,40,22,200,90,UPI,Regular,Emp_20
INV00078,2025-12-17,16:06,Indore,Cookies,Snacks,3,20,10,60,30,UPI,Regular,Emp_18
INV00079,2025-01-27,08:45,Indore,Jaggery Tea,Tea,4,25,13,100,48,UPI,New,Emp_20
INV00080,2025-11-17,07:14,Nashik,Cold Coffee,Coffee,6,60,35,360,150,Cash,Regular,Emp_8
INV00081,2025-06-14,20:26,Nashik,Cold Coffee,Coffee,3,60,35,180,75,Card,New,Emp_1
INV00082,2025-12-03,21:51,Nagpur,Cookies,Snacks,5,20,10,100,50,Cash,New,Emp_18
INV00083,2025-10-12,18:53,Nashik,Cream Roll,Snacks,1,25,12,25,13,UPI,Regular,Emp_6
INV00084,2025-10-12,18:24,Nashik,Black Tea,Tea,5,18,9,90,45,Card,Regular,Emp_20
INV00085,2025-01-24,08:44,Nashik,Masala Milk,Milk,1,35,20,35,15,UPI,New,Emp_3
INV00086,2025-02-07,13:49,Pune,Hot Coffee,Coffee,6,40,22,240,108,UPI,New,Emp_3
INV00087,2025-04-26,12:19,Indore,Black Tea,Tea,1,18,9,18,9,Card,Regular,Emp_9
INV00088,2025-05-08,08:54,Nashik,Rose Milk,Milk,2,45,28,90,34,UPI,Regular,Emp_1
INV00089,2025-05-15,09:03,Indore,Cake,Snacks,5,35,20,175,75,Card,Regular,Emp_10
INV00090,2025-01-13,17:28,Nagpur,Cake,Snacks,1,35,20,35,15,Card,New,Emp_1
INV00091,2025-08-09,19:58,Pune,Cake,Snacks,5,35,20,175,75,UPI,Regular,Emp_9
INV00092,2025-07-13,17:53,Nashik,Cream Roll,Snacks,6,25,12,150,78,UPI,Regular,Emp_12
INV00093,2025-10-19,16:39,Pune,Cold Coffee,Coffee,6,60,35,360,150,UPI,Regular,Emp_9
INV00094,2025-09-22,09:35,Nagpur,Jaggery Tea,Tea,2,25,13,50,24,UPI,Regular,Emp_9
INV00095,2025-01-12,18:42,Indore,Hot Coffee,Coffee,3,40,22,120,54,UPI,Regular,Emp_12
INV00096,2025-01-08,21:59,Mumbai,Cream Roll,Snacks,2,25,12,50,26,UPI,Regular,Emp_19
INV00097,2025-08-30,11:17,Nashik,Bakarwadi,Snacks,4,30,16,120,56,UPI,New,Emp_2
INV00098,2025-05-02,07:35,Mumbai,Jaggery Tea,Tea,1,25,13,25,12,UPI,Regular,Emp_12
INV00099,2025-08-23,20:06,Pune,Jaggery Tea,Tea,3,25,13,75,36,Cash,Regular,Emp_15
INV00100,2025-04-10,11:34,Nashik,Ginger Tea,Tea,3,20,10,60,30,Card,New,Emp_1
INV00101,2025-07-24,17:46,Nashik,Cold Coffee,Coffee,3,60,35,180,75,Cash,Regular,Emp_5
INV00102,2025-10-25,20:45,Mumbai,Cake,Snacks,2,35,20,70,30,UPI,Regular,Emp_6
INV00103,2025-02-10,16:49,Nagpur,Hot Coffee,Coffee,5,40,22,200,90,UPI,Regular,Emp_18
INV00104,2025-11-05,20:24,Nagpur,Rose Milk,Milk,2,45,28,90,34,UPI,Regular,Emp_1
INV00105,2025-03-11,21:36,Mumbai,Jaggery Tea,Tea,2,25,13,50,24,Cash,New,Emp_4
INV00106,2025-05-28,15:39,Pune,Cold Coffee,Coffee,4,60,35,240,100,Card,Regular,Emp_7
INV00107,2025-05-20,13:21,Nagpur,Rose Milk,Milk,1,45,28,45,17,UPI,New,Emp_10
INV00108,2025-06-27,10:53,Mumbai,Cookies,Snacks,1,20,10,20,10,UPI,Regular,Emp_8
INV00109,2025-01-08,09:50,Mumbai,Masala Milk,Milk,2,35,20,70,30,Card,Regular,Emp_12
INV00110,2025-07-08,14:27,Nagpur,Regular Tea,Tea,5,15,8,75,35,UPI,Regular,Emp_1
INV00111,2025-10-30,20:15,Pune,Hot Coffee,Coffee,5,40,22,200,90,UPI,New,Emp_3
INV00112,2025-07-17,20:48,Indore,Rose Milk,Milk,4,45,28,180,68,UPI,New,Emp_7
INV00113,2025-12-25,11:49,Nashik,Masala Milk,Milk,5,35,20,175,75,UPI,Regular,Emp_17
INV00114,2025-10-29,15:56,Mumbai,Ginger Tea,Tea,1,20,10,20,10,Cash,New,Emp_15
INV00115,2025-07-28,16:57,Mumbai,Hot Coffee,Coffee,4,40,22,160,72,UPI,Regular,Emp_18
INV00116,2025-01-03,14:24,Indore,Jaggery Tea,Tea,4,25,13,100,48,UPI,Regular,Emp_8
INV00117,2025-11-17,10:24,Nagpur,Rose Milk,Milk,6,45,28,270,102,UPI,Regular,Emp_20
INV00118,2025-06-07,10:56,Nagpur,Black Tea,Tea,3,18,9,54,27,UPI,Regular,Emp_19
INV00119,2025-02-19,17:30,Mumbai,Cold Coffee,Coffee,4,60,35,240,100,UPI,New,Emp_5
INV00120,2025-11-18,20:09,Pune,Bakarwadi,Snacks,2,30,16,60,28,UPI,Regular,Emp_3
INV00121,2025-04-12,17:02,Nagpur,Hot Coffee,Coffee,3,40,22,120,54,UPI,New,Emp_17
INV00122,2025-03-23,15:11,Mumbai,Ginger Tea,Tea,5,20,10,100,50,UPI,New,Emp_15
INV00123,2025-08-19,21:48,Nagpur,Lemon Tea,Tea,1,22,11,22,11,Cash,Regular,Emp_5
INV00124,2025-09-13,18:06,Nagpur,Lemon Tea,Tea,6,22,11,132,66,UPI,Regular,Emp_15
INV00125,2025-03-13,19:58,Indore,Rose Milk,Milk,3,45,28,135,51,UPI,New,Emp_13
INV00126,2025-03-08,20:36,Mumbai,Black Tea,Tea,2,18,9,36,18,UPI,Regular,Emp_9
INV00127,2025-04-10,09:35,Indore,Cake,Snacks,4,35,20,140,60,UPI,Regular,Emp_20
INV00128,2025-01-16,18:18,Nagpur,Jaggery Tea,Tea,5,25,13,125,60,UPI,Regular,Emp_2
INV00129,2025-11-30,15:35,Indore,Regular Tea,Tea,4,15,8,60,28,UPI,Regular,Emp_16
INV00130,2025-10-09,17:48,Nagpur,Regular Tea,Tea,1,15,8,15,7,UPI,Regular,Emp_6
INV00131,2025-06-15,12:26,Nashik,Black Tea,Tea,5,18,9,90,45,UPI,Regular,Emp_12
INV00132,2025-12-06,13:01,Nagpur,Bakarwadi,Snacks,2,30,16,60,28,Cash,Regular,Emp_6
INV00133,2025-03-25,14:39,Nashik,Cookies,Snacks,1,20,10,20,10,UPI,New,Emp_12
INV00134,2025-02-13,09:36,Mumbai,Masala Milk,Milk,4,35,20,140,60,Cash,Regular,Emp_5
INV00135,2025-07-31,17:24,Mumbai,Cold Coffee,Coffee,6,60,35,360,150,Card,Regular,Emp_2
INV00136,2025-03-05,07:22,Nashik,Bakarwadi,Snacks,2,30,16,60,28,Cash,Regular,Emp_3
INV00137,2025-04-06,15:48,Nagpur,Lemon Tea,Tea,1,22,11,22,11,Cash,New,Emp_10
INV00138,2025-10-14,14:07,Indore,Ginger Tea,Tea,2,20,10,40,20,UPI,Regular,Emp_15
INV00139,2025-10-30,18:45,Pune,Black Tea,Tea,3,18,9,54,27,Cash,Regular,Emp_17
INV00140,2025-07-29,19:58,Pune,Black Tea,Tea,3,18,9,54,27,UPI,New,Emp_8
INV00141,2025-04-19,10:12,Pune,Hot Coffee,Coffee,4,40,22,160,72,Cash,Regular,Emp_4
INV00142,2025-09-12,16:52,Indore,Lemon Tea,Tea,3,22,11,66,33,UPI,New,Emp_19
INV00143,2025-08-05,12:40,Pune,Hot Coffee,Coffee,4,40,22,160,72,UPI,New,Emp_3
INV00144,2025-03-03,16:21,Mumbai,Cream Roll,Snacks,1,25,12,25,13,UPI,New,Emp_6
INV00145,2025-10-03,13:43,Pune,Regular Tea,Tea,3,15,8,45,21,UPI,New,Emp_4
INV00146,2025-10-08,11:56,Pune,Rose Milk,Milk,2,45,28,90,34,UPI,Regular,Emp_5
INV00147,2025-07-09,11:42,Mumbai,Ginger Tea,Tea,2,20,10,40,20,Card,New,Emp_6
INV00148,2025-08-31,20:38,Indore,Cake,Snacks,3,35,20,105,45,Card,Regular,Emp_1
INV00149,2025-02-10,20:29,Nashik,Ginger Tea,Tea,2,20,10,40,20,Card,Regular,Emp_20
INV00150,2025-10-20,19:22,Nagpur,Jaggery Tea,Tea,6,25,13,150,72,UPI,Regular,Emp_17
INV00151,2025-03-24,20:15,Nagpur,Cake,Snacks,3,35,20,105,45,UPI,Regular,Emp_17
INV00152,2025-03-08,13:18,Nashik,Ginger Tea,Tea,2,20,10,40,20,UPI,New,Emp_14
INV00153,2025-09-04,18:45,Mumbai,Regular Tea,Tea,4,15,8,60,28,UPI,New,Emp_16
INV00154,2025-03-05,14:48,Nashik,Jaggery Tea,Tea,5,25,13,125,60,UPI,New,Emp_4
INV00155,2025-02-02,12:12,Nagpur,Lemon Tea,Tea,5,22,11,110,55,UPI,Regular,Emp_10
INV00156,2025-02-24,21:34,Nagpur,Cookies,Snacks,3,20,10,60,30,UPI,New,Emp_15
INV00157,2025-12-27,12:31,Mumbai,Cookies,Snacks,6,20,10,120,60,UPI,Regular,Emp_13
INV00158,2025-11-01,09:28,Indore,Cake,Snacks,1,35,20,35,15,Cash,New,Emp_10
INV00159,2025-08-09,12:29,Mumbai,Hot Coffee,Coffee,3,40,22,120,54,UPI,Regular,Emp_20
INV00160,2025-06-01,17:51,Nashik,Jaggery Tea,Tea,4,25,13,100,48,UPI,New,Emp_8
INV00161,2025-08-10,17:18,Nagpur,Ginger Tea,Tea,4,20,10,80,40,UPI,New,Emp_20
INV00162,2025-04-07,18:26,Mumbai,Cookies,Snacks,1,20,10,20,10,UPI,Regular,Emp_14
INV00163,2025-03-05,07:43,Mumbai,Cream Roll,Snacks,1,25,12,25,13,UPI,Regular,Emp_12
INV00164,2025-02-21,19:40,Mumbai,Cake,Snacks,4,35,20,140,60,Card,New,Emp_15
INV00165,2025-12-06,12:51,Mumbai,Lemon Tea,Tea,2,22,11,44,22,Cash,New,Emp_7
INV00166,2025-01-14,13:27,Nagpur,Cookies,Snacks,3,20,10,60,30,UPI,Regular,Emp_15
INV00167,2025-08-29,20:14,Nagpur,Bakarwadi,Snacks,4,30,16,120,56,Cash,New,Emp_3
INV00168,2025-06-02,21:07,Nashik,Lemon Tea,Tea,6,22,11,132,66,UPI,New,Emp_7
INV00169,2025-03-01,20:59,Nashik,Regular Tea,Tea,6,15,8,90,42,UPI,Regular,Emp_1
INV00170,2025-04-01,21:50,Nashik,Masala Milk,Milk,2,35,20,70,30,UPI,New,Emp_17
INV00171,2025-12-21,20:59,Pune,Cream Roll,Snacks,2,25,12,50,26,UPI,New,Emp_2
INV00172,2025-10-25,07:30,Nagpur,Masala Milk,Milk,4,35,20,140,60,UPI,New,Emp_15
INV00173,2025-05-06,12:32,Nashik,Hot Coffee,Coffee,5,40,22,200,90,UPI,New,Emp_2
INV00174,2025-12-15,18:54,Indore,Jaggery Tea,Tea,2,25,13,50,24,Cash,New,Emp_2
INV00175,2025-09-21,15:15,Nagpur,Cold Coffee,Coffee,5,60,35,300,125,UPI,Regular,Emp_3
INV00176,2025-05-19,15:17,Nagpur,Hot Coffee,Coffee,1,40,22,40,18,Card,Regular,Emp_5
INV00177,2025-04-06,19:11,Nashik,Cookies,Snacks,2,20,10,40,20,Card,New,Emp_11
INV00178,2025-10-19,13:13,Indore,Regular Tea,Tea,3,15,8,45,21,UPI,New,Emp_10
INV00179,2025-11-04,09:42,Mumbai,Masala Milk,Milk,6,35,20,210,90,Card,Regular,Emp_14
INV00180,2025-09-08,12:28,Indore,Jaggery Tea,Tea,2,25,13,50,24,UPI,Regular,Emp_9
INV00181,2025-07-10,09:19,Nagpur,Jaggery Tea,Tea,1,25,13,25,12,Cash,Regular,Emp_7
INV00182,2025-10-13,15:05,Indore,Jaggery Tea,Tea,1,25,13,25,12,UPI,Regular,Emp_14
INV00183,2025-10-10,20:06,Indore,Black Tea,Tea,3,18,9,54,27,UPI,New,Emp_11
INV00184,2025-04-20,21:19,Indore,Lemon Tea,Tea,5,22,11,110,55,Card,Regular,Emp_5
INV00185,2025-08-02,10:44,Mumbai,Rose Milk,Milk,5,45,28,225,85,UPI,New,Emp_13
INV00186,2025-01-08,21:24,Mumbai,Cream Roll,Snacks,6,25,12,150,78,Cash,New,Emp_17
INV00187,2025-09-19,20:23,Pune,Cold Coffee,Coffee,4,60,35,240,100,Card,New,Emp_2
INV00188,2025-12-20,13:02,Pune,Cold Coffee,Coffee,5,60,35,300,125,Card,Regular,Emp_17
INV00189,2025-04-24,20:12,Nashik,Cookies,Snacks,2,20,10,40,20,Card,Regular,Emp_14
INV00190,2025-04-17,16:19,Pune,Jaggery Tea,Tea,1,25,13,25,12,UPI,Regular,Emp_14
INV00191,2025-12-22,08:54,Mumbai,Cream Roll,Snacks,3,25,12,75,39,UPI,Regular,Emp_14
INV00192,2025-12-05,12:37,Pune,Hot Coffee,Coffee,4,40,22,160,72,Card,Regular,Emp_9
INV00193,2025-06-08,20:28,Indore,Ginger Tea,Tea,2,20,10,40,20,UPI,Regular,Emp_14
INV00194,2025-06-15,14:12,Indore,Rose Milk,Milk,3,45,28,135,51,UPI,Regular,Emp_1
INV00195,2025-12-14,17:34,Nashik,Cream Roll,Snacks,1,25,12,25,13,UPI,Regular,Emp_18
INV00196,2025-10-14,14:30,Nashik,Cream Roll,Snacks,5,25,12,125,65,UPI,New,Emp_16
INV00197,2025-10-05,10:41,Nashik,Cold Coffee,Coffee,6,60,35,360,150,UPI,Regular,Emp_20
INV00198,2025-07-06,07:00,Mumbai,Cream Roll,Snacks,2,25,12,50,26,UPI,Regular,Emp_12
INV00199,2025-10-26,13:06,Nagpur,Lemon Tea,Tea,3,22,11,66,33,UPI,Regular,Emp_14
INV00200,2025-08-01,16:25,Indore,Regular Tea,Tea,5,15,8,75,35,UPI,New,Emp_3
INV00201,2025-03-07,11:29,Mumbai,Lemon Tea,Tea,6,22,11,132,66,Card,Regular,Emp_13
INV00202,2025-08-07,10:52,Indore,Ginger Tea,Tea,6,20,10,120,60,UPI,Regular,Emp_1
INV00203,2025-11-25,08:14,Indore,Ginger Tea,Tea,2,20,10,40,20,UPI,New,Emp_13
INV00204,2025-09-09,19:47,Mumbai,Hot Coffee,Coffee,6,40,22,240,108,Cash,Regular,Emp_5
INV00205,2025-12-17,15:31,Indore,Bakarwadi,Snacks,6,30,16,180,84,UPI,New,Emp_16
INV00206,2025-03-16,17:53,Nagpur,Hot Coffee,Coffee,5,40,22,200,90,UPI,Regular,Emp_11
INV00207,2025-10-21,16:51,Nagpur,Jaggery Tea,Tea,2,25,13,50,24,Card,Regular,Emp_19
INV00208,2025-03-01,17:07,Pune,Lemon Tea,Tea,3,22,11,66,33,UPI,Regular,Emp_4
INV00209,2025-03-23,13:10,Indore,Cold Coffee,Coffee,5,60,35,300,125,Cash,New,Emp_10
INV00210,2025-07-26,19:24,Nagpur,Regular Tea,Tea,6,15,8,90,42,UPI,New,Emp_15
INV00211,2025-04-17,11:17,Mumbai,Hot Coffee,Coffee,2,40,22,80,36,Cash,Regular,Emp_14
INV00212,2025-05-10,17:54,Mumbai,Ginger Tea,Tea,3,20,10,60,30,Card,Regular,Emp_6
INV00213,2025-01-15,18:53,Pune,Lemon Tea,Tea,4,22,11,88,44,UPI,New,Emp_7
INV00214,2025-12-16,14:52,Pune,Masala Milk,Milk,5,35,20,175,75,UPI,New,Emp_1
INV00215,2025-05-25,10:23,Mumbai,Cream Roll,Snacks,2,25,12,50,26,UPI,Regular,Emp_10
INV00216,2025-04-30,20:33,Mumbai,Rose Milk,Milk,4,45,28,180,68,Cash,Regular,Emp_13
INV00217,2025-03-22,17:22,Nashik,Black Tea,Tea,1,18,9,18,9,UPI,Regular,Emp_5
INV00218,2025-09-04,15:28,Nagpur,Jaggery Tea,Tea,3,25,13,75,36,Card,Regular,Emp_18
INV00219,2025-10-10,20:52,Nagpur,Cookies,Snacks,3,20,10,60,30,UPI,New,Emp_9
INV00220,2025-06-14,07:22,Nashik,Cookies,Snacks,2,20,10,40,20,UPI,New,Emp_2
INV00221,2025-05-06,14:44,Mumbai,Jaggery Tea,Tea,1,25,13,25,12,UPI,Regular,Emp_6
INV00222,2025-05-28,07:56,Mumbai,Bakarwadi,Snacks,2,30,16,60,28,Card,Regular,Emp_15
INV00223,2025-10-26,14:41,Pune,Masala Milk,Milk,5,35,20,175,75,UPI,Regular,Emp_19
INV00224,2025-07-24,18:34,Indore,Cake,Snacks,1,35,20,35,15,UPI,Regular,Emp_6
INV00225,2025-03-03,07:52,Nashik,Regular Tea,Tea,6,15,8,90,42,Cash,New,Emp_5
INV00226,2025-10-08,18:30,Indore,Black Tea,Tea,1,18,9,18,9,UPI,New,Emp_9
INV00227,2025-04-29,21:04,Indore,Cake,Snacks,1,35,20,35,15,UPI,Regular,Emp_7
INV00228,2025-12-25,07:36,Nagpur,Lemon Tea,Tea,3,22,11,66,33,Card,Regular,Emp_15
INV00229,2025-12-02,13:11,Nashik,Regular Tea,Tea,6,15,8,90,42,UPI,Regular,Emp_15
INV00230,2025-01-19,10:59,Indore,Rose Milk,Milk,4,45,28,180,68,UPI,Regular,Emp_1
INV00231,2025-05-20,20:05,Mumbai,Ginger Tea,Tea,3,20,10,60,30,UPI,Regular,Emp_7
INV00232,2025-09-01,14:21,Nashik,Masala Milk,Milk,4,35,20,140,60,Cash,New,Emp_7
INV00233,2025-07-27,16:46,Mumbai,Masala Milk,Milk,1,35,20,35,15,UPI,Regular,Emp_7
INV00234,2025-03-31,16:15,Pune,Ginger Tea,Tea,2,20,10,40,20,UPI,Regular,Emp_19
INV00235,2025-05-22,12:40,Indore,Rose Milk,Milk,2,45,28,90,34,UPI,Regular,Emp_20
INV00236,2025-12-21,07:13,Mumbai,Black Tea,Tea,4,18,9,72,36,UPI,Regular,Emp_13
INV00237,2025-09-06,15:36,Nagpur,Cookies,Snacks,1,20,10,20,10,UPI,New,Emp_8
INV00238,2025-08-14,12:30,Pune,Bakarwadi,Snacks,2,30,16,60,28,UPI,Regular,Emp_11
INV00239,2025-05-10,12:11,Mumbai,Cream Roll,Snacks,6,25,12,150,78,Card,Regular,Emp_10
INV00240,2025-10-31,18:10,Nagpur,Black Tea,Tea,6,18,9,108,54,UPI,New,Emp_5
INV00241,2025-12-04,14:22,Mumbai,Bakarwadi,Snacks,5,30,16,150,70,UPI,Regular,Emp_19
INV00242,2025-01-06,17:44,Pune,Cookies,Snacks,2,20,10,40,20,UPI,Regular,Emp_10
INV00243,2025-05-31,17:24,Nagpur,Cake,Snacks,4,35,20,140,60,Card,Regular,Emp_12
INV00244,2025-04-29,17:04,Indore,Cream Roll,Snacks,3,25,12,75,39,Cash,New,Emp_15
INV00245,2025-06-07,15:13,Nagpur,Masala Milk,Milk,5,35,20,175,75,Card,New,Emp_1
INV00246,2025-01-07,15:48,Mumbai,Cream Roll,Snacks,3,25,12,75,39,UPI,New,Emp_9
INV00247,2025-07-10,18:40,Indore,Cake,Snacks,1,35,20,35,15,UPI,Regular,Emp_15
INV00248,2025-08-10,13:13,Nagpur,Hot Coffee,Coffee,5,40,22,200,90,UPI,Regular,Emp_3
